"","GEOID","NAME","variable","estimate","moe"
"105","04015","Mohave County, Arizona","B19013_001",41567,796
"106","04017","Navajo County, Arizona","B19013_001",38798,1774
"107","04019","Pima County, Arizona","B19013_001",48676,534
"108","04021","Pinal County, Arizona","B19013_001",52628,891
"109","04023","Santa Cruz County, Arizona","B19013_001",39630,2778
"110","04025","Yavapai County, Arizona","B19013_001",48259,1287
"111","04027","Yuma County, Arizona","B19013_001",43253,1376
"112","05001","Arkansas County, Arkansas","B19013_001",38532,2759
"113","05003","Ashley County, Arkansas","B19013_001",36407,2317
"114","05005","Baxter County, Arkansas","B19013_001",40072,1602
"115","05007","Benton County, Arkansas","B19013_001",61271,1146
"116","05009","Boone County, Arkansas","B19013_001",40727,1497
"117","05011","Bradley County, Arkansas","B19013_001",36310,3985
"118","05013","Calhoun County, Arkansas","B19013_001",37225,5419
"119","05015","Carroll County, Arkansas","B19013_001",39686,2195
"120","05017","Chicot County, Arkansas","B19013_001",32412,3098
"121","05019","Clark County, Arkansas","B19013_001",37144,2739
"122","05021","Clay County, Arkansas","B19013_001",32219,2195
"123","05023","Cleburne County, Arkansas","B19013_001",42312,2518
"124","05025","Cleveland County, Arkansas","B19013_001",44840,3699
"125","05027","Columbia County, Arkansas","B19013_001",37072,3441
"126","05029","Conway County, Arkansas","B19013_001",39638,3317
"127","05031","Craighead County, Arkansas","B19013_001",45672,1662
"128","05033","Crawford County, Arkansas","B19013_001",43504,1870
"129","05035","Crittenden County, Arkansas","B19013_001",38558,3004
"130","05037","Cross County, Arkansas","B19013_001",41081,2555
"131","05039","Dallas County, Arkansas","B19013_001",35794,4141
"132","05041","Desha County, Arkansas","B19013_001",27036,2882
"133","05043","Drew County, Arkansas","B19013_001",36092,2533
"134","05045","Faulkner County, Arkansas","B19013_001",50316,2016
"135","05047","Franklin County, Arkansas","B19013_001",39472,2697
"136","05049","Fulton County, Arkansas","B19013_001",36051,3683
"137","05051","Garland County, Arkansas","B19013_001",41672,1593
"138","05053","Grant County, Arkansas","B19013_001",49968,3977
"139","05055","Greene County, Arkansas","B19013_001",45566,3644
"140","05057","Hempstead County, Arkansas","B19013_001",38701,3965
"141","05059","Hot Spring County, Arkansas","B19013_001",40626,1975
"142","05061","Howard County, Arkansas","B19013_001",34851,2771
"143","05063","Independence County, Arkansas","B19013_001",39945,2414
"144","05065","Izard County, Arkansas","B19013_001",39135,2916
"145","05067","Jackson County, Arkansas","B19013_001",32783,2974
"146","05069","Jefferson County, Arkansas","B19013_001",37630,1469
"147","05071","Johnson County, Arkansas","B19013_001",35758,1574
"148","05073","Lafayette County, Arkansas","B19013_001",32500,3065
"149","05075","Lawrence County, Arkansas","B19013_001",37603,2540
"150","05077","Lee County, Arkansas","B19013_001",27901,4074
"151","05079","Lincoln County, Arkansas","B19013_001",38873,8291
"152","05081","Little River County, Arkansas","B19013_001",36963,4212
"153","05083","Logan County, Arkansas","B19013_001",37982,2324
"154","05085","Lonoke County, Arkansas","B19013_001",57290,2075
"155","05087","Madison County, Arkansas","B19013_001",42894,3325
"156","05089","Marion County, Arkansas","B19013_001",36113,2636
"157","05091","Miller County, Arkansas","B19013_001",41862,1885
"158","05093","Mississippi County, Arkansas","B19013_001",36417,1718
"159","05095","Monroe County, Arkansas","B19013_001",31584,3667
"160","05097","Montgomery County, Arkansas","B19013_001",35252,3596
"161","05099","Nevada County, Arkansas","B19013_001",36995,5674
"162","05101","Newton County, Arkansas","B19013_001",38134,4984
"163","05103","Ouachita County, Arkansas","B19013_001",32136,3003
"164","05105","Perry County, Arkansas","B19013_001",46168,3448
"165","05107","Phillips County, Arkansas","B19013_001",26652,1395
"166","05109","Pike County, Arkansas","B19013_001",36893,2512
