"","GEOID","County","Adult Population with Bachlors Degree Estimate","Adult Population with Bachlors Degree 90% Confidence Interval","Adult Population Estimate","Adult Population 90% Confidence Interval","Median Household Income Estimate","Median Household Income 90% Confidence Interval","PCT_Degree"
"330","12019","Clay County, Florida",22532,1135,137354,128,61971,1829,0.164043275041135
"331","12021","Collier County, Florida",55109,1738,268314,126,62407,1257,0.205389953561872
"332","12023","Columbia County, Florida",5077,596,47213,150,43504,2151,0.107533941922776
"333","12027","DeSoto County, Florida",2002,308,25193,160,35435,1717,0.0794665184773548
"334","12029","Dixie County, Florida",782,200,12309,66,35910,3084,0.0635307498578276
"335","12031","Duval County, Florida",120073,2821,617788,177,51296,541,0.194359553762779
"336","12033","Escambia County, Florida",35438,1207,206004,149,47361,949,0.17202578590707
"337","12035","Flagler County, Florida",11826,747,79267,294,51049,1256,0.149191971438303
"338","12037","Franklin County, Florida",994,170,8891,87,41267,3706,0.111798447868631
"339","12039","Gadsden County, Florida",3391,383,31955,113,39830,2043,0.106117978407135
"340","12041","Gilchrist County, Florida",985,178,11602,81,42934,3874,0.0848991553180486
"341","12043","Glades County, Florida",745,200,9894,235,37385,4329,0.0752981605013139
"342","12045","Gulf County, Florida",1527,274,12127,262,44647,3144,0.125917374453698
"343","12047","Hamilton County, Florida",737,177,9895,112,36209,4821,0.0744820616472966
"344","12049","Hardee County, Florida",1210,301,17288,126,39063,3047,0.0699907450254512
"345","12051","Hendry County, Florida",1298,271,24397,185,37966,2224,0.0532032626962331
"346","12053","Hernando County, Florida",15106,836,133405,126,44324,1044,0.11323413665155
"347","12055","Highlands County, Florida",8281,677,76171,122,36374,1135,0.108715915505901
"348","12057","Hillsborough County, Florida",186135,2926,912588,102,53742,533,0.203963891701403
"349","12059","Holmes County, Florida",1121,213,13927,125,37474,4051,0.0804911323328786
"350","12061","Indian River County, Florida",19263,1045,112585,238,49009,1267,0.171097393080783
"351","12063","Jackson County, Florida",2813,301,35379,200,36944,1427,0.0795104440487295
"352","12065","Jefferson County, Florida",1390,232,10932,80,47599,6872,0.127149652396634
"353","12067","Lafayette County, Florida",420,147,6159,236,41512,9747,0.0681928884559182
"354","12069","Lake County, Florida",34652,1671,239378,162,49734,1173,0.144758499110194
"355","12071","Lee County, Florida",89211,2603,521569,241,52052,572,0.171043524442595
"356","12073","Leon County, Florida",42853,1209,167484,105,49941,922,0.255863246638485
"357","12075","Levy County, Florida",2183,295,28851,118,36554,1796,0.0756646216768916
"358","12077","Liberty County, Florida",397,116,5655,254,36741,3554,0.0702033598585323
"359","12079","Madison County, Florida",993,147,13354,59,31816,2625,0.0743597423992811
"360","12081","Manatee County, Florida",47990,1468,268791,94,53408,1088,0.178540204099096
"361","12083","Marion County, Florida",32915,1475,255204,154,41964,878,0.128975251171612
"362","12085","Martin County, Florida",23988,1084,119437,272,55588,1532,0.200842285054045
"363","12086","Miami-Dade County, Florida",339002,4633,1906299,77,46338,365,0.177832543583142
"364","12087","Monroe County, Florida",11850,708,59730,207,63030,1692,0.198392767453541
"365","12089","Nassau County, Florida",9931,729,56914,222,64294,2019,0.174491337807921
"366","12091","Okaloosa County, Florida",25077,1089,134736,195,59955,1565,0.186119522622016
"367","12093","Okeechobee County, Florida",2200,340,27884,78,39059,1686,0.0788982929278439
"368","12095","Orange County, Florida",187206,3556,853821,194,51586,483,0.219256729455003
"369","12097","Osceola County, Florida",28215,1348,212567,124,47343,1259,0.132734620143296
"370","12099","Palm Beach County, Florida",225909,2954,1037150,121,57256,535,0.217817094923589
"371","12101","Pasco County, Florida",54229,1657,360564,85,48289,813,0.150400483686669
"372","12103","Pinellas County, Florida",141166,2756,722933,113,48968,679,0.195268441197179
"373","12105","Polk County, Florida",58147,1797,448680,67,45988,753,0.129595702950878
"374","12107","Putnam County, Florida",4042,419,51221,137,33619,1120,0.0789129458620488
"375","12109","St. Johns County, Florida",43552,1517,159705,209,73640,2446,0.272702795779719
"376","12111","St. Lucie County, Florida",27447,1663,214460,105,47132,1477,0.127981908048121
"377","12113","Santa Rosa County, Florida",20652,1091,115208,279,62731,1578,0.179258384834386
